ID_participant,Workday,AB_phase,Daytype,SRL_SCORE_F,SRL_SCORE_P,SRL_SCORE_SR,SRL_SCORE_MEAN
1469,28,3,1,0,0,1,0.33
1469,29,3,1,0,0,0,0
1469,30,3,1,0,0,0,0
1488,1,1,0,0,0,0.5,0.17
1488,2,1,0,,,,
1488,3,1,0,,,,
1488,4,1,0,0,0,0.5,0.17
1488,5,1,0,0.5,1,1,0.83
1488,6,1,1,0,0,0,0
1488,7,1,1,0,0,0,0
1488,8,1,1,,,,
1488,9,1,1,0,0,0,0
1488,10,1,1,,,,
1488,11,2,0,,,,
1488,12,2,0,0,0,0,0
1488,13,2,0,0,0,0,0
1488,14,2,0,0,0,0,0
1488,15,2,0,0,0,0,0
1488,16,2,1,,,,
1488,17,2,1,,,,
1488,18,2,1,,,,
1488,19,2,1,,,,
1488,20,2,1,,,,
1488,21,3,0,0,0,0,0
1488,22,3,0,0,0,0,0
1488,23,3,0,,,,
1488,24,3,0,0,0,0,0
1488,25,3,0,0,0,0,0
1488,26,3,1,0,0,0.5,0.17
1488,27,3,1,0,0,0,0
1488,28,3,1,0,0,0,0
1488,29,3,1,0,0,0,0
1488,30,3,1,,,,
